edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,4ca84577-d4a8-4928-a784-a4d376d65c92,b53a3653-63d6-4046-88a6-adde82237bc0,822818bb-2622-4a32-a8ac-6f8eab29dfa2,466754b3-4a6f-4d40-b0e5-0ee8a4463947
2,1,3,4ca84577-d4a8-4928-a784-a4d376d65c92,c8771f76-ef25-4359-b207-793b7040d2fa,822818bb-2622-4a32-a8ac-6f8eab29dfa2,e7a9e16f-9de7-427f-9eb7-c108a4b06374
3,1,4,4ca84577-d4a8-4928-a784-a4d376d65c92,84868fc8-9338-4f6a-937e-64b0b80221e3,822818bb-2622-4a32-a8ac-6f8eab29dfa2,09c5807a-1ec9-499c-bd86-51e35c9faf78
4,1,5,4ca84577-d4a8-4928-a784-a4d376d65c92,81b8a083-cd3f-410c-8d18-546932826135,822818bb-2622-4a32-a8ac-6f8eab29dfa2,9de390ad-ef07-4735-81ae-dedac463de47
5,1,6,4ca84577-d4a8-4928-a784-a4d376d65c92,244378fd-5d9b-4c34-8fc0-7e6e8f646532,822818bb-2622-4a32-a8ac-6f8eab29dfa2,0436493e-e8c8-4753-9ec6-67535f641f34
6,1,7,4ca84577-d4a8-4928-a784-a4d376d65c92,7259e7ec-842d-4151-8cc6-0aa5b360c067,822818bb-2622-4a32-a8ac-6f8eab29dfa2,1525c284-e7bd-403d-8975-6f6b1d3b1acf
7,1,11,4ca84577-d4a8-4928-a784-a4d376d65c92,acd3e4de-06b6-4746-a73a-be4b5b22e0b8,822818bb-2622-4a32-a8ac-6f8eab29dfa2,f36ea16e-d3cc-455e-b3e7-71a7356b9a92
8,2,4,4ca84577-d4a8-4928-a784-a4d376d65c92,dbf49eef-12d6-47fa-8148-aeef9501e634,466754b3-4a6f-4d40-b0e5-0ee8a4463947,09c5807a-1ec9-499c-bd86-51e35c9faf78
9,2,6,4ca84577-d4a8-4928-a784-a4d376d65c92,4eb32be8-17b0-4a41-be10-87148c6260c8,466754b3-4a6f-4d40-b0e5-0ee8a4463947,0436493e-e8c8-4753-9ec6-67535f641f34
10,2,7,4ca84577-d4a8-4928-a784-a4d376d65c92,6b407bca-bca5-48f2-b292-156345e36182,466754b3-4a6f-4d40-b0e5-0ee8a4463947,1525c284-e7bd-403d-8975-6f6b1d3b1acf
11,2,8,4ca84577-d4a8-4928-a784-a4d376d65c92,27110042-fe9e-4135-97bf-27b2d905991a,466754b3-4a6f-4d40-b0e5-0ee8a4463947,ebdcd1d7-9db2-45b1-81ac-35d9e77c0191
12,2,9,4ca84577-d4a8-4928-a784-a4d376d65c92,9299082f-1411-47ec-aaa8-e39e9c782631,466754b3-4a6f-4d40-b0e5-0ee8a4463947,0ccc683b-c080-414f-9946-3f45d58287c6
