edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,10f0154c-2e37-4f8f-b320-8f2098d5ef1a,bef04c38-ff86-4c0c-85ab-a3d416efd67f,731168da-eb3e-4176-bbf8-98fca29f87ee
2,1,3,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,9af57f74-d69e-484c-bc0e-76d89fad33da,bef04c38-ff86-4c0c-85ab-a3d416efd67f,74c60eed-c0d8-4067-a069-cfc16be5b52a
3,1,4,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,09e17e73-48ac-48c1-b6c5-8f91009a25ee,bef04c38-ff86-4c0c-85ab-a3d416efd67f,2ae87a26-e1f6-48ff-842c-fb667e6ca794
4,1,9,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,0dde383e-f1dd-4f0a-99e7-887101c477c3,bef04c38-ff86-4c0c-85ab-a3d416efd67f,87d61979-90b5-4a6b-af93-4a2dde43b4e5
5,2,3,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,26a19552-3718-4708-8b4d-85bf5f1e9964,731168da-eb3e-4176-bbf8-98fca29f87ee,74c60eed-c0d8-4067-a069-cfc16be5b52a
6,2,4,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,770edceb-c0c3-4107-a3e8-f4735c4fb92c,731168da-eb3e-4176-bbf8-98fca29f87ee,2ae87a26-e1f6-48ff-842c-fb667e6ca794
7,2,9,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,f449ab7f-cb1c-4868-9d24-a63d6bc66e78,731168da-eb3e-4176-bbf8-98fca29f87ee,87d61979-90b5-4a6b-af93-4a2dde43b4e5
8,3,4,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,979aec0c-c421-4f5f-991b-2a818e736a1a,74c60eed-c0d8-4067-a069-cfc16be5b52a,2ae87a26-e1f6-48ff-842c-fb667e6ca794
9,3,5,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,00f3a8da-496b-412a-905f-fe6c5a100d5a,74c60eed-c0d8-4067-a069-cfc16be5b52a,9d5fa31d-3c67-4011-a083-27777516fd45
10,3,9,ed6d49be-0f88-4b75-a34d-e1cdd314c9ac,47491bfe-56d9-4977-be9a-6582f5d083a7,74c60eed-c0d8-4067-a069-cfc16be5b52a,87d61979-90b5-4a6b-af93-4a2dde43b4e5
