edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,2e2396d2-dc40-48fc-b253-0d2a36961e21,84ce72d6-21d3-4e4c-afee-2b0db12011d1,551f5888-5943-477f-8b50-aeea4e62f785,681ae33e-f63c-4e74-b7d6-b90b0343a089
2,1,3,2e2396d2-dc40-48fc-b253-0d2a36961e21,4900ddd8-eb7f-47ce-b7f2-adb6104bfb16,551f5888-5943-477f-8b50-aeea4e62f785,1930caa6-9c3c-4149-8945-439a91bc14b0
3,1,4,2e2396d2-dc40-48fc-b253-0d2a36961e21,a4bbcb9a-4e38-49fc-9975-6512c6988b3c,551f5888-5943-477f-8b50-aeea4e62f785,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e
4,1,8,2e2396d2-dc40-48fc-b253-0d2a36961e21,9a81ffde-98cf-45b1-91ad-9cf5eadeb866,551f5888-5943-477f-8b50-aeea4e62f785,98980c32-6129-428d-9e87-11d8b81d8551
5,1,9,2e2396d2-dc40-48fc-b253-0d2a36961e21,907d96ae-8ec0-48bb-8e67-5d289893238e,551f5888-5943-477f-8b50-aeea4e62f785,9468ffd1-a1af-4314-beab-effad4d5568f
6,1,10,2e2396d2-dc40-48fc-b253-0d2a36961e21,dd4a5ee8-3c4c-4c93-9599-01e3fa4992ea,551f5888-5943-477f-8b50-aeea4e62f785,5d200d21-a825-40e5-8254-e372fac13288
7,1,11,2e2396d2-dc40-48fc-b253-0d2a36961e21,c547e777-6c51-4e01-8d09-cf28cec8d5e6,551f5888-5943-477f-8b50-aeea4e62f785,59a490c2-3aff-4917-b101-36e85aa3f326
8,1,12,2e2396d2-dc40-48fc-b253-0d2a36961e21,6f45d7fe-d28a-4ebf-9177-85b2d7383366,551f5888-5943-477f-8b50-aeea4e62f785,3d2ef674-b9e4-4aaf-a86b-2b2c1fe0d740
9,1,13,2e2396d2-dc40-48fc-b253-0d2a36961e21,ef74caa1-1285-44b8-b3e1-2099bfd1592f,551f5888-5943-477f-8b50-aeea4e62f785,1df9f68c-3f9a-407c-ae4d-a9ad2a43013c
10,1,14,2e2396d2-dc40-48fc-b253-0d2a36961e21,4369518c-8efb-4d57-afa5-43a28fbf3ec3,551f5888-5943-477f-8b50-aeea4e62f785,de0c6fb0-2cce-4820-8bbc-ff0538e739bd
11,1,15,2e2396d2-dc40-48fc-b253-0d2a36961e21,1852a471-0f59-45ed-84dc-1b2da5d40d30,551f5888-5943-477f-8b50-aeea4e62f785,cd9ba578-340c-43cd-a739-1c9c194c9d60
12,2,3,2e2396d2-dc40-48fc-b253-0d2a36961e21,182f4d56-d5c8-45fe-b9a7-b097e34bf258,681ae33e-f63c-4e74-b7d6-b90b0343a089,1930caa6-9c3c-4149-8945-439a91bc14b0
13,2,10,2e2396d2-dc40-48fc-b253-0d2a36961e21,161a8414-fd57-4a56-a3b7-345139811cde,681ae33e-f63c-4e74-b7d6-b90b0343a089,5d200d21-a825-40e5-8254-e372fac13288
14,2,11,2e2396d2-dc40-48fc-b253-0d2a36961e21,cf6ecc45-02be-4677-aab7-e0d0d048fae8,681ae33e-f63c-4e74-b7d6-b90b0343a089,59a490c2-3aff-4917-b101-36e85aa3f326
15,2,12,2e2396d2-dc40-48fc-b253-0d2a36961e21,31a87c59-82a4-4083-a02d-bac3504dd6dc,681ae33e-f63c-4e74-b7d6-b90b0343a089,3d2ef674-b9e4-4aaf-a86b-2b2c1fe0d740
16,2,13,2e2396d2-dc40-48fc-b253-0d2a36961e21,df073911-3979-4b16-87d8-abf08cfb3703,681ae33e-f63c-4e74-b7d6-b90b0343a089,1df9f68c-3f9a-407c-ae4d-a9ad2a43013c
17,2,14,2e2396d2-dc40-48fc-b253-0d2a36961e21,e6b9548f-cca5-45d2-9c6a-50e394eced10,681ae33e-f63c-4e74-b7d6-b90b0343a089,de0c6fb0-2cce-4820-8bbc-ff0538e739bd
18,2,15,2e2396d2-dc40-48fc-b253-0d2a36961e21,87d33eff-b520-4250-95af-db159a022cb6,681ae33e-f63c-4e74-b7d6-b90b0343a089,cd9ba578-340c-43cd-a739-1c9c194c9d60
19,3,4,2e2396d2-dc40-48fc-b253-0d2a36961e21,e000f92e-8230-4787-a52a-5516f46823aa,1930caa6-9c3c-4149-8945-439a91bc14b0,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e
20,3,8,2e2396d2-dc40-48fc-b253-0d2a36961e21,f1e1a035-d961-421b-b079-e72985c945db,1930caa6-9c3c-4149-8945-439a91bc14b0,98980c32-6129-428d-9e87-11d8b81d8551
21,3,9,2e2396d2-dc40-48fc-b253-0d2a36961e21,42c3c559-77de-46fd-9afb-e760a9304474,1930caa6-9c3c-4149-8945-439a91bc14b0,9468ffd1-a1af-4314-beab-effad4d5568f
22,3,10,2e2396d2-dc40-48fc-b253-0d2a36961e21,4e465019-2ee4-4b26-9929-cc7a92479ab5,1930caa6-9c3c-4149-8945-439a91bc14b0,5d200d21-a825-40e5-8254-e372fac13288
23,3,11,2e2396d2-dc40-48fc-b253-0d2a36961e21,1ca2c5c6-1cd8-485e-85fc-32cd82caa239,1930caa6-9c3c-4149-8945-439a91bc14b0,59a490c2-3aff-4917-b101-36e85aa3f326
24,3,12,2e2396d2-dc40-48fc-b253-0d2a36961e21,227e33f3-55b4-41ce-8c8b-6b3986fcb238,1930caa6-9c3c-4149-8945-439a91bc14b0,3d2ef674-b9e4-4aaf-a86b-2b2c1fe0d740
25,3,13,2e2396d2-dc40-48fc-b253-0d2a36961e21,d5c15eae-4375-45aa-8a76-092e47c90c75,1930caa6-9c3c-4149-8945-439a91bc14b0,1df9f68c-3f9a-407c-ae4d-a9ad2a43013c
26,3,14,2e2396d2-dc40-48fc-b253-0d2a36961e21,f557de92-76f2-4286-8f56-54e5b17bc4e7,1930caa6-9c3c-4149-8945-439a91bc14b0,de0c6fb0-2cce-4820-8bbc-ff0538e739bd
27,3,15,2e2396d2-dc40-48fc-b253-0d2a36961e21,ce2b6b49-b73d-4ba8-8492-e24209bd2b0b,1930caa6-9c3c-4149-8945-439a91bc14b0,cd9ba578-340c-43cd-a739-1c9c194c9d60
28,4,5,2e2396d2-dc40-48fc-b253-0d2a36961e21,8390f99c-c765-49d1-b57d-05c67b32ec49,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e,0c3b698b-2683-4490-8d45-b855b55e48c4
29,4,8,2e2396d2-dc40-48fc-b253-0d2a36961e21,0aefd8a9-8807-4dd4-bac6-82701c834893,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e,98980c32-6129-428d-9e87-11d8b81d8551
30,4,9,2e2396d2-dc40-48fc-b253-0d2a36961e21,59bdcaef-c298-4eb3-a7e1-346106d50953,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e,9468ffd1-a1af-4314-beab-effad4d5568f
31,4,10,2e2396d2-dc40-48fc-b253-0d2a36961e21,46f988d5-4ec7-4866-9e85-ab8cb2292cb8,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e,5d200d21-a825-40e5-8254-e372fac13288
32,4,11,2e2396d2-dc40-48fc-b253-0d2a36961e21,b92f77ea-9d8e-4c51-acb6-209ebeef2345,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e,59a490c2-3aff-4917-b101-36e85aa3f326
33,4,12,2e2396d2-dc40-48fc-b253-0d2a36961e21,732fab94-fe5a-4b59-a838-6d1b317a7b25,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e,3d2ef674-b9e4-4aaf-a86b-2b2c1fe0d740
34,4,13,2e2396d2-dc40-48fc-b253-0d2a36961e21,6358033e-2233-448e-adf9-89390ba08eac,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e,1df9f68c-3f9a-407c-ae4d-a9ad2a43013c
35,4,14,2e2396d2-dc40-48fc-b253-0d2a36961e21,69af7fc1-3ce9-4088-a43d-0663f081b18e,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e,de0c6fb0-2cce-4820-8bbc-ff0538e739bd
36,4,15,2e2396d2-dc40-48fc-b253-0d2a36961e21,1c20aef2-5e22-4159-947a-1217e9be7f00,1edc2f52-bf7a-4c2f-9bb6-a06a6b00236e,cd9ba578-340c-43cd-a739-1c9c194c9d60
37,6,7,2e2396d2-dc40-48fc-b253-0d2a36961e21,84e998bd-63dc-4475-8ce3-209d3cd40e35,b711c948-cffe-42a2-bd2b-846d51eaf803,5c1ce1ed-8af8-4356-a27a-47ac277ba794
38,6,8,2e2396d2-dc40-48fc-b253-0d2a36961e21,767be32a-9a84-4874-a970-ccec278a6269,b711c948-cffe-42a2-bd2b-846d51eaf803,98980c32-6129-428d-9e87-11d8b81d8551
39,8,10,2e2396d2-dc40-48fc-b253-0d2a36961e21,72f420f7-0fe5-441e-b72d-3347709e897c,98980c32-6129-428d-9e87-11d8b81d8551,5d200d21-a825-40e5-8254-e372fac13288
40,8,11,2e2396d2-dc40-48fc-b253-0d2a36961e21,8bf4464f-0749-49c5-aacb-67f42862ffc8,98980c32-6129-428d-9e87-11d8b81d8551,59a490c2-3aff-4917-b101-36e85aa3f326
41,8,12,2e2396d2-dc40-48fc-b253-0d2a36961e21,e5b92e54-f65a-4002-b815-ec112998fe70,98980c32-6129-428d-9e87-11d8b81d8551,3d2ef674-b9e4-4aaf-a86b-2b2c1fe0d740
42,8,13,2e2396d2-dc40-48fc-b253-0d2a36961e21,07fc76ff-3c99-41b0-b261-7f1742542830,98980c32-6129-428d-9e87-11d8b81d8551,1df9f68c-3f9a-407c-ae4d-a9ad2a43013c
43,8,14,2e2396d2-dc40-48fc-b253-0d2a36961e21,5143e881-21ed-4ca7-95d1-1e364651f48b,98980c32-6129-428d-9e87-11d8b81d8551,de0c6fb0-2cce-4820-8bbc-ff0538e739bd
44,8,15,2e2396d2-dc40-48fc-b253-0d2a36961e21,ca6b6c33-4eb0-4b18-af11-900498047181,98980c32-6129-428d-9e87-11d8b81d8551,cd9ba578-340c-43cd-a739-1c9c194c9d60
45,9,10,2e2396d2-dc40-48fc-b253-0d2a36961e21,f77593bd-9ab7-4ba5-ae2c-1c246b6a21c3,9468ffd1-a1af-4314-beab-effad4d5568f,5d200d21-a825-40e5-8254-e372fac13288
46,9,11,2e2396d2-dc40-48fc-b253-0d2a36961e21,9a60c2f0-f189-47dc-89b2-b91e9da7a703,9468ffd1-a1af-4314-beab-effad4d5568f,59a490c2-3aff-4917-b101-36e85aa3f326
47,9,12,2e2396d2-dc40-48fc-b253-0d2a36961e21,209e11ee-ae4b-4b6b-ad28-f655f8e25192,9468ffd1-a1af-4314-beab-effad4d5568f,3d2ef674-b9e4-4aaf-a86b-2b2c1fe0d740
48,9,13,2e2396d2-dc40-48fc-b253-0d2a36961e21,66d1e789-5824-4c7e-8260-96cfcc453158,9468ffd1-a1af-4314-beab-effad4d5568f,1df9f68c-3f9a-407c-ae4d-a9ad2a43013c
49,9,14,2e2396d2-dc40-48fc-b253-0d2a36961e21,2e935417-594a-4578-9090-5cf84dc3d872,9468ffd1-a1af-4314-beab-effad4d5568f,de0c6fb0-2cce-4820-8bbc-ff0538e739bd
50,9,15,2e2396d2-dc40-48fc-b253-0d2a36961e21,ed23f65d-c97f-4854-849b-5e3c7cfc6438,9468ffd1-a1af-4314-beab-effad4d5568f,cd9ba578-340c-43cd-a739-1c9c194c9d60
51,10,11,2e2396d2-dc40-48fc-b253-0d2a36961e21,d6a64546-cf3b-4686-ae6d-28f3ae19d84f,5d200d21-a825-40e5-8254-e372fac13288,59a490c2-3aff-4917-b101-36e85aa3f326
52,10,12,2e2396d2-dc40-48fc-b253-0d2a36961e21,3d675d70-bbbf-4813-bcfe-f6f6feeb7efc,5d200d21-a825-40e5-8254-e372fac13288,3d2ef674-b9e4-4aaf-a86b-2b2c1fe0d740
