edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,bf16fac6-166d-4fc5-8e3f-b8605db241c4,ca154fe7-9455-4c68-9fd4-2e8169decf35,a9d7d844-88ba-4548-999f-17079f3fff79,2494aa82-2d42-4349-b366-4d21a1f3e07f
2,1,3,bf16fac6-166d-4fc5-8e3f-b8605db241c4,7b71d6a3-c28a-434b-a772-fc2f61e11eaa,a9d7d844-88ba-4548-999f-17079f3fff79,a5c6a5ef-2333-4f31-9aff-0fbba99d37ae
3,1,5,bf16fac6-166d-4fc5-8e3f-b8605db241c4,a11aeb39-5450-44b7-a8d4-83c5cf942f34,a9d7d844-88ba-4548-999f-17079f3fff79,567ba727-600b-41c3-a919-c76299d441b4
4,1,7,bf16fac6-166d-4fc5-8e3f-b8605db241c4,c919f0f7-c836-4457-8b54-56c27924ba86,a9d7d844-88ba-4548-999f-17079f3fff79,556a7b81-8228-489e-a4dc-8caf25c524ec
5,1,9,bf16fac6-166d-4fc5-8e3f-b8605db241c4,8e8d66bb-c4a8-4b88-9899-ef07e48516c0,a9d7d844-88ba-4548-999f-17079f3fff79,fc82a21e-0572-46f7-91aa-0f4c5c9a18fb
6,1,11,bf16fac6-166d-4fc5-8e3f-b8605db241c4,b69c0147-23be-40e1-8beb-e3820da9b708,a9d7d844-88ba-4548-999f-17079f3fff79,2aee04f1-86ee-485d-a097-37dafe34aff5
7,1,12,bf16fac6-166d-4fc5-8e3f-b8605db241c4,79d524b5-cd4c-4da4-ad18-46c86ef4ab5b,a9d7d844-88ba-4548-999f-17079f3fff79,2b87e2b0-f87b-47c5-bba2-ee5a4894d9c6
8,1,13,bf16fac6-166d-4fc5-8e3f-b8605db241c4,7b0bea97-caba-40f2-b5f2-d557b11ee2fe,a9d7d844-88ba-4548-999f-17079f3fff79,64aab2ff-fd48-4a63-8d7a-b7cad9a8b2fc
9,1,14,bf16fac6-166d-4fc5-8e3f-b8605db241c4,b309fa42-cf25-410d-ba17-4edd3e64e1ce,a9d7d844-88ba-4548-999f-17079f3fff79,d6dab597-7518-41f1-8705-804834152456
10,1,15,bf16fac6-166d-4fc5-8e3f-b8605db241c4,02a70524-e7b1-4880-87bd-acf63a902933,a9d7d844-88ba-4548-999f-17079f3fff79,d80d90f4-5fd7-4e21-8c53-aab42e915a65
11,2,3,bf16fac6-166d-4fc5-8e3f-b8605db241c4,5ada2c0c-2a11-4226-8d1e-8ca740faa0d1,2494aa82-2d42-4349-b366-4d21a1f3e07f,a5c6a5ef-2333-4f31-9aff-0fbba99d37ae
12,2,5,bf16fac6-166d-4fc5-8e3f-b8605db241c4,ee17219d-cfc4-44ec-8472-52fdbf9567ad,2494aa82-2d42-4349-b366-4d21a1f3e07f,567ba727-600b-41c3-a919-c76299d441b4
13,2,9,bf16fac6-166d-4fc5-8e3f-b8605db241c4,3df56612-4bac-42c9-a1ab-1abe91e521e6,2494aa82-2d42-4349-b366-4d21a1f3e07f,fc82a21e-0572-46f7-91aa-0f4c5c9a18fb
14,2,11,bf16fac6-166d-4fc5-8e3f-b8605db241c4,61e9625c-2cab-4d5c-8200-6aea8cc2722e,2494aa82-2d42-4349-b366-4d21a1f3e07f,2aee04f1-86ee-485d-a097-37dafe34aff5
