edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,13c40ecc-cee8-46ff-8b3d-f200bcf3a5a1,d8a52063-0791-4dc4-9e52-5d60d99cbc80,06f2059c-151d-4a2d-9d1b-78d0199fae70
2,1,3,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,f7b14192-1339-4601-8201-e5cc7b0aca5e,d8a52063-0791-4dc4-9e52-5d60d99cbc80,ed0aaf07-0f8f-4297-8bfb-5f971c1581c0
3,1,5,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,f5478bdd-a95a-44c3-939b-b987fcfb88e5,d8a52063-0791-4dc4-9e52-5d60d99cbc80,7792f796-5e44-447e-aec0-0e78cf67a68c
4,1,6,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,186f4f86-90cb-49b4-ac07-de57632ac69e,d8a52063-0791-4dc4-9e52-5d60d99cbc80,69ca2901-a40f-4780-8bb6-365ab2986133
5,2,3,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,3a384f8c-b8b7-4ff9-a928-0d50b636486b,06f2059c-151d-4a2d-9d1b-78d0199fae70,ed0aaf07-0f8f-4297-8bfb-5f971c1581c0
6,2,4,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,56f7c18c-7c0d-40bf-bade-5c0fabf2b33d,06f2059c-151d-4a2d-9d1b-78d0199fae70,7fb58b7f-96d4-4695-b2a6-fecf65a07c9d
7,2,6,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,b32ca62a-ed03-4ae2-b996-b1be0112f1e8,06f2059c-151d-4a2d-9d1b-78d0199fae70,69ca2901-a40f-4780-8bb6-365ab2986133
8,2,7,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,8505dc27-8552-4c6d-b223-f23e7d164494,06f2059c-151d-4a2d-9d1b-78d0199fae70,75b569bf-f31e-4a01-a1bb-d5138314d806
9,2,9,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,80be9c9c-3021-45c5-9093-9dfc86803d91,06f2059c-151d-4a2d-9d1b-78d0199fae70,d007ebbc-698f-4f31-a470-344cfe72c6a1
10,3,4,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,21a1aa56-c8ea-4837-afe4-29df444a4150,ed0aaf07-0f8f-4297-8bfb-5f971c1581c0,7fb58b7f-96d4-4695-b2a6-fecf65a07c9d
11,3,5,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,3bb40845-4366-4237-856e-e51bc0336483,ed0aaf07-0f8f-4297-8bfb-5f971c1581c0,7792f796-5e44-447e-aec0-0e78cf67a68c
12,3,6,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,a6a9abb5-21ea-4fe7-b976-e9306aaf7ad3,ed0aaf07-0f8f-4297-8bfb-5f971c1581c0,69ca2901-a40f-4780-8bb6-365ab2986133
13,3,8,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,fb5529ed-ba32-4a56-b523-f1ed6c5f2d81,ed0aaf07-0f8f-4297-8bfb-5f971c1581c0,ecbcc473-5344-44e1-a253-d6c5b035215f
14,3,9,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,339f85a0-4215-4b78-9847-4b9f52f92e7b,ed0aaf07-0f8f-4297-8bfb-5f971c1581c0,d007ebbc-698f-4f31-a470-344cfe72c6a1
15,3,10,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,cab12533-39e1-4235-a195-7c827215003c,ed0aaf07-0f8f-4297-8bfb-5f971c1581c0,4f82cf67-cca0-44f6-a0d6-920f7203177e
16,4,5,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,0287a0a2-a7f6-4676-b96e-1101c32b16aa,7fb58b7f-96d4-4695-b2a6-fecf65a07c9d,7792f796-5e44-447e-aec0-0e78cf67a68c
17,4,9,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,854a6ed7-dc5a-44ba-afa6-70a514984785,7fb58b7f-96d4-4695-b2a6-fecf65a07c9d,d007ebbc-698f-4f31-a470-344cfe72c6a1
18,5,6,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,0c6d932a-8d7f-45aa-9fcd-696662872dc3,7792f796-5e44-447e-aec0-0e78cf67a68c,69ca2901-a40f-4780-8bb6-365ab2986133
19,5,7,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,689abc95-9f2d-4e4b-8885-f71eac711041,7792f796-5e44-447e-aec0-0e78cf67a68c,75b569bf-f31e-4a01-a1bb-d5138314d806
20,5,9,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,f02be181-4b39-4ab2-9500-ea0ec33c9c96,7792f796-5e44-447e-aec0-0e78cf67a68c,d007ebbc-698f-4f31-a470-344cfe72c6a1
21,6,7,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,ea986021-10e0-4b99-8ece-1a16c7388012,69ca2901-a40f-4780-8bb6-365ab2986133,75b569bf-f31e-4a01-a1bb-d5138314d806
22,6,8,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,98380878-e286-45d7-9172-eb7edc036a50,69ca2901-a40f-4780-8bb6-365ab2986133,ecbcc473-5344-44e1-a253-d6c5b035215f
23,6,9,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,691c3898-e645-477e-9058-e30ee4433a0a,69ca2901-a40f-4780-8bb6-365ab2986133,d007ebbc-698f-4f31-a470-344cfe72c6a1
24,6,10,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,30ae27a7-fdb2-41f2-a3c7-ffd295ffd1c3,69ca2901-a40f-4780-8bb6-365ab2986133,4f82cf67-cca0-44f6-a0d6-920f7203177e
25,7,8,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,93f67ac9-9c7c-45c4-8165-c7a665d67688,75b569bf-f31e-4a01-a1bb-d5138314d806,ecbcc473-5344-44e1-a253-d6c5b035215f
26,7,9,9eb1c7aa-7bc3-4ecf-af4e-63f240b438eb,0465652e-1e60-4f3f-b809-b2b907d716e8,75b569bf-f31e-4a01-a1bb-d5138314d806,d007ebbc-698f-4f31-a470-344cfe72c6a1
